TIMESTAMP,Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Last Heartbeat
192073.834104202,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004419740289449692,yaw=-0.12139075994491577,roll=6.06891444476787e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.7837838909763377
192073.850347301,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004419740289449692,yaw=-0.12139075994491577,roll=6.06891444476787e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.7837838909763377
192073.879538501,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004329840885475278,yaw=-0.12136925756931305,roll=3.536855001584627e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.7837838909763377
192073.895324801,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004329840885475278,yaw=-0.12136925756931305,roll=3.536855001584627e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.9195273889927194
192073.9287201,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004329840885475278,yaw=-0.12136925756931305,roll=3.536855001584627e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",7.619999814778566e-05
192073.9953054,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004329840885475278,yaw=-0.12136925756931305,roll=3.536855001584627e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.06500949899782427
192074.034635199,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004329840885475278,yaw=-0.12136925756931305,roll=3.536855001584627e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.06500949899782427
192074.049030299,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004329840885475278,yaw=-0.12136925756931305,roll=3.536855001584627e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.06500949899782427
192074.063285799,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004305112815927714,yaw=-0.12134863436222076,roll=2.6195475584245287e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.06500949899782427
192074.080435399,"LocationGlobal:lat=-35.363261,lon=149.1652299,alt=None","LocationGlobalRelative:lat=-35.363261,lon=149.1652299,alt=0.0","LocationLocal:north=None,east=None,down=None","Attitude:pitch=0.0004305112815927714,yaw=-0.12134863436222076,roll=2.6195475584245287e-05","[0.0, 0.0, 0.0]","GPSInfo:fix=3,num_sat=10",0.15178479798487388
